0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.singlePageNav.min.js HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/slick/slick.min.js HTTP/1.1" 200 42864
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/isotope.pkgd.min.js HTTP/1.1" 200 35514
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/ajax-form.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/imagesloaded.pkgd.min.js HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 19193
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/scrollIt.js HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.scrollUp.min.js HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/wow.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/nice-select.min.js HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.slicknav.min.js HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/plugins.js HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/gijgo.min.js HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/contact.js HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.form.js HTTP/1.1" 200 42269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/jquery.validate.min.js HTTP/1.1" 200 21069
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/mail-script.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/js/main.js HTTP/1.1" 200 7196
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:22 +0900] "GET /resources/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:23 +0900] "GET /resources/img/kakao/chunsik.png HTTP/1.1" 200 312044
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:23 +0900] "GET /resources/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /flight/search?dep=%EC%9D%B8%EC%B2%9C&arr=%EC%82%AC%EC%9D%B4%ED%8C%90&depDate=2023-12-05&arrDate=2023-12-12 HTTP/1.1" 200 21199
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/magnific-popup.css HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 197124
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/themify-icons.css HTTP/1.1" 200 17537
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/nice-select.css HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/flaticon.css HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/gijgo.css HTTP/1.1" 200 60226
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/animate.css HTTP/1.1" 200 81381
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/slicknav.css HTTP/1.1" 200 5760
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/style.css HTTP/1.1" 200 68288
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/js/jquery-1.11.3.min.js HTTP/1.1" 200 95997
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/img/kakao/chunsik.png HTTP/1.1" 200 312044
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/css/datepicker.css HTTP/1.1" 200 4790
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/slick/slick-theme.css HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:26 +0900] "GET /resources/slick/slick.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/css/normalize.css HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/css/templatemo-style.css HTTP/1.1" 200 14311
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/vendor/modernizr.custom.min.js HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 197124
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/img/tm-img-01.jpg HTTP/1.1" 200 224732
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/img/tm-img-03.jpg HTTP/1.1" 200 151192
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/img/tm-img-02.jpg HTTP/1.1" 200 216040
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/img/tm-img-04.jpg HTTP/1.1" 200 31128
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery-1.11.3.min.js HTTP/1.1" 200 95997
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 19193
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/datepicker.min.js HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.singlePageNav.min.js HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/slick/slick.min.js HTTP/1.1" 200 42864
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/isotope.pkgd.min.js HTTP/1.1" 200 35514
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/ajax-form.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/imagesloaded.pkgd.min.js HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 19193
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/scrollIt.js HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.scrollUp.min.js HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/wow.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/nice-select.min.js HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.slicknav.min.js HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/plugins.js HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/gijgo.min.js HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/contact.js HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.validate.min.js HTTP/1.1" 200 21069
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/jquery.form.js HTTP/1.1" 200 42269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/mail-script.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/js/main.js HTTP/1.1" 200 7196
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/img/kakao/chunsik.png HTTP/1.1" 200 312044
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:27 +0900] "GET /resources/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /flight/search?dep=%EC%9D%B8%EC%B2%9C&arr=%EC%82%AC%EC%9D%B4%ED%8C%90&depDate=2023-12-05&arrDate=2023-12-12 HTTP/1.1" 200 21204
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 197124
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/magnific-popup.css HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/themify-icons.css HTTP/1.1" 200 17537
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/nice-select.css HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/flaticon.css HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/gijgo.css HTTP/1.1" 200 60226
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/slicknav.css HTTP/1.1" 200 5760
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/animate.css HTTP/1.1" 200 81381
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/style.css HTTP/1.1" 200 68288
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/img/kakao/chunsik.png HTTP/1.1" 200 312044
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery-1.11.3.min.js HTTP/1.1" 200 95997
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/datepicker.css HTTP/1.1" 200 4790
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/slick/slick-theme.css HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/slick/slick.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/vendor/modernizr.custom.min.js HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/templatemo-style.css HTTP/1.1" 200 14311
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/normalize.css HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/img/tm-img-02.jpg HTTP/1.1" 200 216040
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/img/tm-img-03.jpg HTTP/1.1" 200 151192
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/img/tm-img-01.jpg HTTP/1.1" 200 224732
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/img/tm-img-04.jpg HTTP/1.1" 200 31128
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 19193
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 197124
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/datepicker.min.js HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.singlePageNav.min.js HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/slick/slick.min.js HTTP/1.1" 200 42864
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/isotope.pkgd.min.js HTTP/1.1" 200 35514
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/ajax-form.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/imagesloaded.pkgd.min.js HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/scrollIt.js HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.scrollUp.min.js HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/nice-select.min.js HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/wow.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.slicknav.min.js HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/plugins.js HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/gijgo.min.js HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/contact.js HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.form.js HTTP/1.1" 200 42269
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery.validate.min.js HTTP/1.1" 200 21069
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/mail-script.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/main.js HTTP/1.1" 200 7196
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/jquery-1.11.3.min.js HTTP/1.1" 200 95997
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 19193
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/img/kakao/chunsik.png HTTP/1.1" 200 312044
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:16 +0900] "GET /resources/img/favicon.png HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /flight/search?dep=%EC%9D%B8%EC%B2%9C&arr=%EC%82%AC%EC%9D%B4%ED%8C%90&depDate=2023-12-05&arrDate=2023-12-12 HTTP/1.1" 200 21204
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 197124
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/magnific-popup.css HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/themify-icons.css HTTP/1.1" 200 17537
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/nice-select.css HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/gijgo.css HTTP/1.1" 200 60226
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/flaticon.css HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/animate.css HTTP/1.1" 200 81381
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/slicknav.css HTTP/1.1" 200 5760
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/style.css HTTP/1.1" 200 68288
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/jquery-1.11.3.min.js HTTP/1.1" 200 95997
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/img/kakao/chunsik.png HTTP/1.1" 200 312044
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/datepicker.css HTTP/1.1" 200 4790
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/slick/slick.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/slick/slick-theme.css HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/templatemo-style.css HTTP/1.1" 200 14311
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/vendor/modernizr.custom.min.js HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/normalize.css HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/img/tm-img-01.jpg HTTP/1.1" 200 224732
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/img/tm-img-02.jpg HTTP/1.1" 200 216040
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/img/tm-img-03.jpg HTTP/1.1" 200 151192
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/img/tm-img-04.jpg HTTP/1.1" 200 31128
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 19193
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 197124
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/jquery.singlePageNav.min.js HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/datepicker.min.js HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/slick/slick.min.js HTTP/1.1" 200 42864
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/isotope.pkgd.min.js HTTP/1.1" 200 35514
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/ajax-form.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/imagesloaded.pkgd.min.js HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:47 +0900] "GET /resources/js/scrollIt.js HTTP/1.1" 200 3826
